OuterLoopSize,InnerLoopSize,LastLoopSize,TotalThreads,OuterThreads,InnerThreads,Time
100000,100000,10,48,12,2,4.44079e+06
100000,100000,10,48,24,1,3.62039e+06
100000,100000,10,48,24,2,5.47524e+06
100000,100000,10,48,2,3,1.72737e+07
100000,100000,10,48,2,4,1.52038e+07
100000,100000,10,48,6,3,7.74296e+06
100000,100000,10,48,6,4,1.34979e+07
100000,100000,10,48,12,3,9.54814e+06
100000,100000,10,48,12,4,1.83028e+07
100000,100000,10,48,2,6,2.19577e+07
100000,100000,10,48,2,8,3.97738e+07
100000,100000,10,48,6,6,3.18493e+07
100000,100000,10,48,6,8,5.46416e+07
100000,100000,10,48,2,12,8.45734e+07
100000,100000,10,48,2,24,3.58228e+08
2,100000,10,48,2,1,1044.8
2,100000,10,48,6,1,1203.07
2,100000,10,48,12,1,1421.9
2,100000,10,48,24,1,6413.29
2,100000,10,48,48,1,8199.57
2,100000,10,48,2,2,685.658
2,100000,10,48,6,2,798.955
2,100000,10,48,12,2,949.793
2,100000,10,48,24,2,6366.65
2,100000,10,48,2,3,667.119
2,100000,10,48,2,4,982.856
2,100000,10,48,6,3,1014.03
2,100000,10,48,6,4,1327.44
2,100000,10,48,12,3,1163.85
2,100000,10,48,12,4,1046.4
2,100000,10,48,2,6,763.893
2,100000,10,48,2,8,1603.82
2,100000,10,48,6,6,1882.91
2,100000,10,48,6,8,2503.37
2,100000,10,48,2,12,845.149
2,100000,10,48,2,24,1961.36
3,100000,10,48,2,1,2071.62
3,100000,10,48,6,1,1158.38
3,100000,10,48,12,1,1374.2
3,100000,10,48,24,1,1856.16
3,100000,10,48,48,1,8847.05
3,100000,10,48,2,2,1300.44
3,100000,10,48,6,2,826.81
3,100000,10,48,12,2,964.815
3,100000,10,48,24,2,1454.83
3,100000,10,48,2,3,993.045
3,100000,10,48,2,4,1107.84
3,100000,10,48,6,3,1181.71
3,100000,10,48,6,4,1015.62
3,100000,10,48,12,3,1817.35
3,100000,10,48,12,4,1031.16
3,100000,10,48,2,6,1599.41
3,100000,10,48,2,8,1553.01
3,100000,10,48,6,6,2273.3
3,100000,10,48,6,8,1644.06
3,100000,10,48,2,12,1885.05
3,100000,10,48,2,24,5405.36
4,100000,10,48,2,1,1906.61
4,100000,10,48,6,1,1185.99
4,100000,10,48,12,1,1449.87
4,100000,10,48,24,1,5473.85
4,100000,10,48,48,1,8280.74
4,100000,10,48,2,2,1318.68
4,100000,10,48,6,2,1517.28
4,100000,10,48,12,2,1710.35
4,100000,10,48,24,2,2424.2
4,100000,10,48,2,3,1124.51
4,100000,10,48,2,4,1465.08
4,100000,10,48,6,3,959.173
4,100000,10,48,6,4,1565.15
4,100000,10,48,12,3,1120.66
4,100000,10,48,12,4,4302.26
4,100000,10,48,2,6,1283.63
4,100000,10,48,2,8,1761.03
4,100000,10,48,6,6,3119.98
4,100000,10,48,6,8,4912.9
4,100000,10,48,2,12,1775.68
4,100000,10,48,2,24,9482.19
6,100000,10,48,2,1,3064.37
6,100000,10,48,6,1,1215.84
6,100000,10,48,12,1,1439.98
6,100000,10,48,24,1,7920.62
6,100000,10,48,48,1,9316.53
6,100000,10,48,2,2,1830.21
6,100000,10,48,6,2,1447.51
6,100000,10,48,12,2,1694.93
6,100000,10,48,24,2,2593.91
6,100000,10,48,2,3,1187.03
6,100000,10,48,2,4,1761.97
6,100000,10,48,6,3,2802.35
6,100000,10,48,6,4,2930.75
6,100000,10,48,12,3,5074.06
6,100000,10,48,12,4,3048.84
6,100000,10,48,2,6,1788.14
6,100000,10,48,2,8,2242.13
6,100000,10,48,6,6,5422.08
6,100000,10,48,6,8,5361.65
6,100000,10,48,2,12,3196.95
6,100000,10,48,2,24,19845.6
8,100000,10,48,2,1,3658.93
8,100000,10,48,6,1,2184.36
8,100000,10,48,12,1,1509.78
8,100000,10,48,24,1,8425.93
8,100000,10,48,48,1,6223.36
8,100000,10,48,2,2,2269.71
8,100000,10,48,6,2,1883.12
8,100000,10,48,12,2,4592.95
8,100000,10,48,24,2,2851.61
8,100000,10,48,2,3,2226.92
8,100000,10,48,2,4,1776.92
8,100000,10,48,6,3,2862.77
8,100000,10,48,6,4,2680.88
8,100000,10,48,12,3,4167.78
8,100000,10,48,12,4,5176.26
8,100000,10,48,2,6,2344.6
8,100000,10,48,2,8,2551.15
8,100000,10,48,6,6,5382.79
8,100000,10,48,6,8,10146.7
8,100000,10,48,2,12,5852.04
8,100000,10,48,2,24,16394.1
12,100000,10,48,2,1,5564.7
12,100000,10,48,6,1,2125.64
12,100000,10,48,12,1,1558.82
12,100000,10,48,24,1,7139.88
12,100000,10,48,48,1,9433.37
12,100000,10,48,2,2,3194.88
12,100000,10,48,6,2,1897.18
12,100000,10,48,12,2,4082.22
12,100000,10,48,24,2,2958.91
12,100000,10,48,2,3,2579.61
12,100000,10,48,2,4,2856.93
12,100000,10,48,6,3,3183.78
12,100000,10,48,6,4,3374.36
12,100000,10,48,12,3,4007.75
